LOCATION,INDICATOR,SUBJECT,MEASURE,TIME_PERIOD,OBS_VALUE,ccodealp_year
CHN,PENSIONASSET,TOT,MLN_USD,2006,11653.668,CHN06
ARG,PENSIONASSET,TOT,MLN_USD,2006,28901.853,ARG06
KOR,PENSIONASSET,TOT,MLN_USD,2006,27260.517,KOR06
FRA,PENSIONASSET,TOT,MLN_USD,2006,1002.237,FRA06
PER,PRIVPENSIONASSET,TOT,MLN_USD,2006,14410.946,PER06
EST,PRIVPENSIONASSET,TOT,MLN_USD,2006,830.875,EST06
KEN,PENSIONASSET,TOT,MLN_USD,2006,3227.918,KEN06
CRI,PRIVPENSIONASSET,TOT,MLN_USD,2006,1496.349,CRI06
KEN,PRIVPENSIONASSET,TOT,MLN_USD,2006,3506.319,KEN06
JAM,PENSIONASSET,TOT,MLN_USD,2006,1967.951,JAM06
DOM,PENSIONASSET,TOT,MLN_USD,2006,646.44,DOM06
THA,PENSIONASSET,TOT,PC_GDP,2006,4.654,THA06
RUS,PENSIONASSET,TOT,PC_GDP,2006,1.413,RUS06
EST,PENSIONASSET,TOT,PC_GDP,2006,3.536,EST06
BGR,PENSIONASSET,TOT,PC_GDP,2006,2.84,BGR06
GBR,PENSIONASSET,TOT,MLN_USD,2006,2079091.82,GBR06
CHE,PENSIONASSET,TOT,PC_GDP,2006,105.336,CHE06
ESP,PENSIONASSET,TOT,PC_GDP,2006,7.346,ESP06
ITA,PENSIONASSET,TOT,MLN_USD,2006,58729.804,ITA06
ISL,PENSIONASSET,TOT,PC_GDP,2006,121.899,ISL06
FIN,PENSIONASSET,TOT,PC_GDP,2006,68.913,FIN06
CAN,PENSIONASSET,TOT,PC_GDP,2006,61.226,CAN06
AUT,PENSIONASSET,TOT,PC_GDP,2006,4.758,AUT06
URY,PRIVPENSIONASSET,TOT,MLN_USD,2006,2585.893,URY06
ZAF,PRIVPENSIONASSET,TOT,MLN_USD,2006,232553.802,ZAF06
LVA,PRIVPENSIONASSET,TOT,MLN_USD,2006,324.805,LVA06
COL,PRIVPENSIONASSET,TOT,MLN_USD,2006,19358.026,COL06
BRA,PRIVPENSIONASSET,TOT,MLN_USD,2006,224786.996,BRA06
USA,PRIVPENSIONASSET,TOT,MLN_USD,2006,16390662.0,USA06
GBR,PRIVPENSIONASSET,TOT,MLN_USD,2006,2079091.82,GBR06
POL,PRIVPENSIONASSET,TOT,MLN_USD,2006,40752.105,POL06
NZL,PRIVPENSIONASSET,TOT,MLN_USD,2006,12405.649,NZL06
MEX,PRIVPENSIONASSET,TOT,MLN_USD,2006,97911.129,MEX06
CAN,PRIVPENSIONASSET,TOT,MLN_USD,2006,1535715.274,CAN06
LVA,PENSIONASSET,TOT,MLN_USD,2001,14.735,LVA01
IDN,PENSIONASSET,TOT,MLN_USD,2001,3232.867,IDN01
COL,PENSIONASSET,TOT,MLN_USD,2001,4960.71,COL01
CHL,PENSIONASSET,TOT,MLN_USD,2001,35384.581,CHL01
GBR,PENSIONASSET,TOT,PC_GDP,2001,64.588,GBR01
PRT,PENSIONASSET,TOT,PC_GDP,2001,10.92,PRT01
PRT,PENSIONASSET,TOT,MLN_USD,2001,13066.401,PRT01
NZL,PENSIONASSET,TOT,PC_GDP,2001,15.277,NZL01
MEX,PENSIONASSET,TOT,PC_GDP,2001,3.516,MEX01
ITA,PENSIONASSET,TOT,PC_GDP,2001,2.149,ITA01
HUN,PENSIONASSET,TOT,MLN_USD,2001,2126.825,HUN01
DEU,PENSIONASSET,TOT,PC_GDP,2001,3.527,DEU01
DNK,PENSIONASSET,TOT,MLN_USD,2001,43179.143,DNK01
CZE,PENSIONASSET,TOT,MLN_USD,2001,1472.098,CZE01
BEL,PENSIONASSET,TOT,MLN_USD,2001,12571.952,BEL01
AUS,PENSIONASSET,TOT,MLN_USD,2001,263407.725,AUS01
ZMB,PRIVPENSIONASSET,TOT,MLN_USD,2001,141.753,ZMB01
KAZ,PRIVPENSIONASSET,TOT,MLN_USD,2001,1155.748,KAZ01
SWE,PRIVPENSIONASSET,TOT,MLN_USD,2001,70559.831,SWE01
CZE,PRIVPENSIONASSET,TOT,MLN_USD,2001,1472.098,CZE01
ZMB,PENSIONASSET,TOT,MLN_USD,2001,141.753,ZMB01
