year_x,wdi_gdpgr,wdi_gdpcapcon2015,wdi_gdpcappppcon2017,wdi_inflation,wdi_fertility,oecd_houswealth_t1a,oecd_houswealth_t1f,oecd_emplage_t1a,wdi_lfpyne,oecd_taxapw_t1,kun_wiqreco_all,nrmi_nrpi,kun_wiqreco_full,OECD_PPA,OECD_PFA_USD,OECD_PFA_PC_GDP
2018,2.564324282777037,6320.990747575989,14426.43438214079,3.24056932930567,1.787,,,42.2475,48.12,,,83.8004969825394,,72227.81,72227.81,23.947
2019,3.186855392455328,6404.108765751239,14616.13512417062,3.52301932741443,1.765,,,,46.74,,,85.8096399464653,,86536.048,86536.048,26.752
2020,-7.252299074923059,5852.983235400121,13358.2980828837,2.52663500084712,1.737,,,,46.94,,,85.9941477461259,,93389.243,93389.243,32.128
2021,11.01619326697785,6423.859895371493,14661.21324353806,3.49505757399453,1.717,,,,48.35,,,86.0156277135547,,92187.933,92187.933,30.775
2022,7.495775781405683,6857.793322480557,15651.58205792164,10.1772313546165,,,,,44.45,,,86.0156277135547,,73281.513,73281.513,24.08
2001,3.491169872721017,7768.438955235614,12771.95076936508,11.2556157091172,2.325,,,,51.38,,36.0,,31.0,473.735,473.735,3.081
2002,3.416876390033835,7898.633138194613,12986.00068399939,9.167520485091147,2.2,,,,49.74,,44.0,,35.0,771.708,771.708,4.899
2003,4.31717986611369,8109.82489763115,13333.21725736271,9.4475809161698,2.137,,,,50.63,,40.0,,32.0,1032.601,1032.601,6.277
2004,4.424599597242178,8340.829852504803,13713.0083489999,12.3148150178852,2.078,,,,47.66,,45.0,,37.0,827.773,827.773,4.658
2005,3.976666367929084,8545.747274280964,14049.90939666102,13.7982949108987,2.044,,,,49.04,,42.0,,34.0,1109.957,1109.957,5.756
2006,7.326695432183982,9041.386796137507,14864.78142036882,11.4705968149052,2.014,,,,49.5,,55.0,,45.0,1496.349,1496.349,6.673
2007,8.215131983501252,9647.860895035745,15861.87457880871,9.35724456417162,2.012,,,,51.41,,57.0,,46.0,1691.185,1691.185,6.065
2008,4.738174877967012,9966.048440858083,16385.00100022819,13.4244635507283,2.021,,,,49.1,,57.0,,46.0,2018.059,2018.059,6.916
2009,-0.8734559427998931,9746.490696192635,16024.03006101394,7.84270167700652,1.982,,,,47.37,,53.0,,43.0,2369.237,2369.237,7.598
2010,5.360343479858415,10137.58217075242,16667.0165204788,5.66275708420023,1.928,,,,44.65,,54.0,99.0068863902518,41.0,2833.468,2833.468,7.34
2011,4.403159239704308,10453.52256668024,17186.44844317215,4.87799830970698,1.902,,,,43.61,,,99.0068863902512,,3507.495,3507.495,8.302
2012,4.882592410257388,10832.75676229368,17809.94056357689,4.49545314354611,1.876,,,,48.16,,,99.0068863902512,,4354.925,4354.925,9.317
2013,2.494766112099541,10975.69637298727,18044.94500672056,5.23133614174423,1.838,,,,47.74,,,99.0068863902512,,5453.035,5453.035,10.738
2014,3.542109877659769,11240.71158731532,18480.65175424534,4.51920098516958,1.819,,,,48.21,,,99.0068863902512,,5846.268,5846.268,11.262
2015,3.652080968028827,11529.95517356715,18956.19193229788,0.801982005099592,1.79,,,,45.73,,,99.0068863902512,,9016.554,9016.554,16.09
2016,4.204323251758993,11893.32325448512,19553.59885888706,-0.0174788505908107,1.754,,,,42.61,,,99.0068863902512,,9949.996,9949.996,17.216
2017,4.157698962760904,12267.16203897414,20168.2204808997,1.62590692991729,1.74,,,,42.63,,,99.0068863902512,,14892.006,14892.006,24.694
2018,2.615904404337897,12470.9574213207,20503.27680371473,2.22111461526584,1.709,,,,45.63,,,99.0068863902512,,16450.402,16450.402,27.775
2019,2.417511817625126,12662.42285415848,20818.06167829899,2.09604635327805,1.632,,,,45.31,,,99.0068863981712,,20122.408,20122.408,30.493
2020,-4.273354321614619,12030.04859382397,19778.38653026132,0.724911478131358,1.555,,,,43.93,,,99.0068863981659,,21656.951,21656.951,36.431
2021,7.780797563935678,12888.46631296727,21189.69566348941,1.72647755109235,1.533,,,,45.4,,,99.0598361353494,,24906.24,24906.24,39.872
2022,4.305015797848341,13373.58883056214,21987.27686964105,8.27477490232662,,,,,42.96,,,99.0598361353494,,26683.958,26683.958,36.064
2001,3.042976562570416,12734.92202865479,25833.41466999375,4.66267556988255,1.15,51.05938,2.484503,34.25,43.12,42.587997,21.0,,,1472.098,1472.098,2.07
2002,1.569855328222019,12959.81748130781,26289.62613895356,1.90298097019031,1.17,49.70581,2.839068,32.225,40.06,42.975246,21.0,,,2229.732,2229.732,2.497
2003,3.583688458804176,13428.09961617902,27239.55944403841,0.118739205526785,1.18,48.33986,3.189913,29.975,38.13,43.212722,19.0,,,3127.122,3127.122,2.841
2004,4.814261001269585,14070.28045898182,28542.2548172745,2.76010781671159,1.23,50.78027,3.821298,27.775,35.84,43.518341,26.0,,,4462.449,4462.449,3.241
2005,6.601617529889509,14978.41318691534,30384.44664878408,1.85709789109223,1.29,50.40062,4.271683,27.45,33.86,43.729066,23.0,,,5019.386,5019.386,3.756
2006,6.766932681254275,15948.74528972042,32352.8129664551,2.53399258343632,1.34,51.12976,4.78003,27.675,33.53,42.52621,31.0,,,6991.167,6991.167,4.133
2007,5.570338859210253,16739.17871581207,33956.24598467879,2.85312437211172,1.45,51.34568,4.907505,28.475,31.92,42.883267,30.0,,,9248.644,9248.644,4.332
2008,2.686411950927621,17046.88502689264,34580.44334629845,6.35866380152374,1.51,52.93822,5.227898,28.075,31.14,43.436631,28.0,,,9909.287,9909.287,4.742
2009,-4.657331091717552,16160.62055659422,32782.61234921931,1.0193773532923,1.51,53.66939,5.452703,26.55,31.84,42.005939,26.0,,,11752.538,11752.538,5.459
2010,2.43490215904518,16505.9537034372,33483.13759480899,1.47272727272729,1.51,52.31584,5.519106,25.225,30.88,42.130289,25.0,100.0,,12395.19,12395.19,5.821
2011,1.760359624452221,16761.8273125123,34002.18977522058,1.91721913635547,1.43,53.93918,5.795275,24.5,29.93,42.607351,,100.0,,12412.663,12412.663,6.093
2012,-0.7850042990036172,16606.99253915037,33688.09983445824,3.28762306610408,1.45,51.43324,5.676389,25.2,31.27,42.454052,,100.0,,14337.364,14337.364,6.681
2013,-0.0459036735515213,16593.86423072847,33661.46841617271,1.43829787234043,1.46,51.42778,6.219222,25.55,31.55,42.441222,,100.0,,14950.658,14950.658,7.179
2014,2.26210289708078,16951.37911504448,34386.70491439775,0.343988589646784,1.53,51.06874,6.60239,27.1,32.2,42.614247,,100.0,,14853.952,14853.952,7.805
2015,5.388380838153068,17829.69832236678,36168.4185553861,0.309364548494974,1.57,50.12377,6.788155,28.375,32.48,42.800453,,100.0,,15028.456,15028.456,8.066
2016,2.537284520313804,18247.01172954565,37014.9592935816,0.683504209385683,1.63,51.24588,6.898381,28.625,31.98,43.005683,,100.0,,15683.884,15683.884,8.383
2017,5.168724304130706,19139.23988413827,38824.88791709192,2.45053398460138,1.69,51.98679,7.157808,29.15,31.65,43.369605,,100.0,,20919.89,20919.89,8.715
2018,3.220088069551053,19689.5827032979,39941.28534975887,2.14949494949492,1.71,,,28.375,30.41,43.745898,,100.0,,20935.051,20935.051,8.692
2019,3.029878663452791,20206.42563849046,40989.72662282229,2.84787595918047,1.71,,,,29.71,,,100.0,,22445.09,22445.09,8.767
2020,-5.502967961250889,19048.08685438288,38639.97952026007,3.16129528497808,1.71,,,,27.3,,,100.0,,25346.868,25346.868,9.495
2021,3.552722061836832,20085.45802657931,40744.33788207398,3.8398449150015,1.83,,,,27.04,,,100.0,,26182.862,26182.862,9.409
2022,2.460919243056097,20540.05401957073,41666.50817631214,15.1001651468371,,,,,27.6,,,100.0,,26526.507,26526.507,8.841
2001,0.8231529980144359,49469.68880882749,49133.22310265055,2.33787000255261,1.74,20.90249,20.34961,62.275,67.21,40.637426,8.0,,8.0,152546.763,43179.143,26.475
2002,0.4663455714942302,49541.85555032855,49204.89900553453,2.42443661219694,1.72,21.5009,20.42468,63.525,68.82,39.966891,5.0,,5.0,211365.965,50416.876,25.319
2003,0.3900585564851013,49599.99696407535,49262.64497325558,2.07507820646504,1.76,21.40715,20.13406,59.575,65.87,39.957662,2.0,,2.0,276001.787,66951.775,27.762
2004,2.66821926741747,50792.00095344996,50446.54160489846,1.15435693124937,1.78,20.96717,20.40929,62.3,66.43,38.60587,3.0,,2.0,337121.176,82491.843,29.949
2005,2.33664130821947,51835.83270624447,51483.27378629296,1.81781458291257,1.8,18.87913,18.39493,62.275,68.14,38.48639,2.0,,1.0,339961.53,82517.946,32.904
2006,3.913007978310603,53687.44154749776,53322.28899917831,1.92422138464588,1.85,18.13074,16.81554,64.55,69.94,38.58812,4.0,,3.0,404047.893,94025.109,31.643
2007,0.909238928302372,53935.87024796312,53569.02802380076,1.69326586220319,1.84,19.31854,16.60923,65.325,70.61,38.765757,2.0,,1.0,469955.244,108166.659,31.571
2008,-0.512016744849106,53345.35761829765,52982.5317373493,3.41626794258375,1.89,21.3,20.21761,66.4,69.08,38.584203,3.0,,2.0,501045.187,155961.495,45.754
2009,-4.90654772965155,50457.23248928629,50114.05005232273,1.30470991024336,1.84,19.77622,18.96335,62.525,67.86,37.188637,2.0,,1.0,528881.721,138350.834,41.695
2010,1.870991147184967,51173.4661587111,50825.41229293581,2.31092436974789,1.87,18.7979,19.29184,58.05,63.97,35.939591,2.0,80.2567295783741,1.0,553049.403,154612.12,47.925
2011,1.336777766903282,51644.46350977751,51293.20617820022,2.75868226051246,1.75,18.57741,22.00446,57.55,63.36,36.082605,,80.3075394961929,,581495.329,154535.327,48.076
2012,0.226499791802965,51567.04015025193,51216.30940992605,2.39791485664639,1.73,17.79555,21.41646,55.0,60.99,36.155981,,84.64341490835,,636211.339,161358.281,48.187
2013,0.9333409723712264,51831.79793092319,51479.26645330172,0.789071780078061,1.67,17.23079,20.55585,53.675,58.12,35.79447,,84.6568074617882,,661173.328,146699.573,41.149
2014,1.619393811030335,52404.76397133822,52048.33549278455,0.564020540449518,1.69,16.3121,21.21274,53.75,58.27,35.632274,,84.6738935624041,,655856.686,152348.513,47.073
2015,2.34259110757047,53254.85637009158,52892.64602902475,0.452034153691623,1.71,15.90625,21.06142,55.35,58.45,35.892394,,84.6858044181424,,598573.927,130392.826,43.734
2016,3.245956985243993,54556.06895456944,54185.0084787703,0.249999999999997,1.79,16.00523,22.37263,58.25,59.54,35.872315,,84.6858044181424,,611895.405,138345.17,46.291
2017,2.821736341290261,55735.7649011485,55356.680780178,1.14713216957606,1.75,15.56287,22.00608,56.25,60.38,35.805903,,84.7623435567771,,721673.515,160173.29,45.341
2018,1.989537314964323,56563.48847296692,56178.77462998245,0.813609467455633,1.73,,,57.275,60.07,35.659189,,84.7843163813594,,679017.388,154372.766,44.664
2019,1.493486958536479,57203.02779434472,56813.96415546347,0.758131572511619,1.7,,,,61.13,,,84.7843163813594,,761777.461,169433.84,48.946
2020,-1.99460756850381,55898.79002944558,55518.59710091558,0.420711974110026,1.68,,,,60.22,,,84.7843163813594,,882109.095,224054.114,58.478
2021,4.855707585702334,58359.58399456333,57962.65409438128,1.85304543989687,1.72,,,,60.41,,,84.7843163813594,,889944.726,190445.748,48.99
2022,3.8190177467909057,60113.08594125551,59704.22968202444,7.69656699889259,,,,,62.78,,,84.7843163813594,,780912.991,155652.577,38.325
2001,6.003674251065732,10625.57926867522,18952.10700754337,5.74827981651377,1.32,33.2094,0.0401929,29.4,35.47,40.963905,19.0,,,1.909,1.909,0.031
2002,6.771367930436199,11417.16796877265,20364.00873740352,3.57191270164023,1.36,27.39249,0.1946635,28.55,31.7,42.088547,14.0,,,30.52,15.838,0.193
2003,7.600265185087068,12362.2482843024,22049.6827903416,1.33499116549964,1.37,26.32223,1.031714,30.775,38.69,42.322317,15.0,,,131.54,90.108,0.816
2004,6.804007770501357,13282.54551984503,23691.15298652836,3.04811107523412,1.47,23.00507,2.007576,28.5,39.68,41.468851,15.0,,,302.105,233.61,1.754
2005,9.52642697162088,14631.38732571367,26096.98833862375,4.07971423199846,1.52,22.5281,3.073245,30.725,35.82,39.922469,16.0,,,464.285,350.971,2.623
